,Year,Make,Model,DOUGSCORE,Vehicle Country,cylinders,displacement,drive,transmission,age
109,1991,Mercedes-Benz,560SEL,46,Germany,8,5.6,Rear Wheel Drive,Automatic,27
110,1992,Subaru,SVX,44,Japan,6,3.3,All Wheel Drive,Automatic,27
111,1993,Cadillac,Allante,43,USA,8,4.6,Front Wheel Drive,Automatic,27
112,2021,Hyundai,Venue,43,South Korea,4,1.6,Front Wheel Drive,Automatic,0
113,1999,Plymouth,Prowler,43,USA,6,3.5,Rear Wheel Drive,Automatic,18
114,1990,Lexus,LS 400,43,Japan,8,4.0,Rear Wheel Drive,Automatic,28
115,2005,Maserati,Quattroporte,43,Italy,8,4.2,Rear Wheel Drive,Automatic,12
116,2004,Ford,Thunderbird,42,USA,8,3.9,Rear Wheel Drive,Automatic,15
117,2005,Lincoln,Town Car,42,USA,8,4.6,Rear Wheel Drive,Automatic,14
118,1989,Buick,Reatta,41,USA,6,3.8,Front Wheel Drive,Automatic,31
119,2020,Toyota,Corolla Hybrid,39,Japan,4,1.8,Front Wheel Drive,Automatic,0
120,2015,Cadillac,ELR,39,USA,4,1.4,Front Wheel Drive,Automatic,2
121,2012,Nissan,Murano CrossCabriolet,30,Japan,6,3.5,All Wheel Drive,Automatic,3
122,1988,Yugo,GV,29,Yugoslavia,4,1.1,Front Wheel Drive,Manual,28
